2024-09-01 02:20:17,735 - ERROR - Wordlist file not found: D:\EPI\Projects\Kraken - Brute Force Tool\files\..\wordlists\subdomains_wordlist.txt
2024-09-01 02:20:41,681 - ERROR - Failed to connect to http://*.192.168.16.129: URL has an invalid label.
2024-09-01 02:20:41,701 - ERROR - Failed to connect to http://azurecertificateservice.192.168.16.129: HTTPConnectionPool(host='azurecertificateservice.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x0000015526064D10>: Failed to resolve 'azurecertificateservice.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,702 - ERROR - Failed to connect to http://pop.192.168.16.129: HTTPConnectionPool(host='pop.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x0000015526064950>: Failed to resolve 'pop.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,703 - ERROR - Failed to connect to http://ipv6.192.168.16.129: HTTPConnectionPool(host='ipv6.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x0000015526065DF0>: Failed to resolve 'ipv6.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,704 - ERROR - Failed to connect to http://eu.192.168.16.129: HTTPConnectionPool(host='eu.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260668D0>: Failed to resolve 'eu.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,705 - ERROR - Failed to connect to http://beta.192.168.16.129: HTTPConnectionPool(host='beta.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x0000015526066FF0>: Failed to resolve 'beta.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,706 - ERROR - Failed to connect to http://ap.192.168.16.129: HTTPConnectionPool(host='ap.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x0000015526067C80>: Failed to resolve 'ap.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,708 - ERROR - Failed to connect to http://gcp.192.168.16.129: HTTPConnectionPool(host='gcp.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x000001552608C860>: Failed to resolve 'gcp.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,709 - ERROR - Failed to connect to http://us3.192.168.16.129: HTTPConnectionPool(host='us3.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x000001552608CF50>: Failed to resolve 'us3.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,710 - ERROR - Failed to connect to http://org.192.168.16.129: HTTPConnectionPool(host='org.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x000001552608D580>: Failed to resolve 'org.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,711 - ERROR - Failed to connect to http://kafka.192.168.16.129: HTTPConnectionPool(host='kafka.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x000001552608DE80>: Failed to resolve 'kafka.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,712 - ERROR - Failed to connect to http://us2.192.168.16.129: HTTPConnectionPool(host='us2.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x000001552608E9F0>: Failed to resolve 'us2.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,712 - ERROR - Failed to connect to http://containers.192.168.16.129: HTTPConnectionPool(host='containers.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x000001552608F050>: Failed to resolve 'containers.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,714 - ERROR - Failed to connect to http://p.192.168.16.129: HTTPConnectionPool(host='p.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x000001552608F980>: Failed to resolve 'p.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,714 - ERROR - Failed to connect to http://www.dev.192.168.16.129: HTTPConnectionPool(host='www.dev.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260B0260>: Failed to resolve 'www.dev.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,715 - ERROR - Failed to connect to http://br.192.168.16.129: HTTPConnectionPool(host='br.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260B09E0>: Failed to resolve 'br.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,716 - ERROR - Failed to connect to http://wp.192.168.16.129: HTTPConnectionPool(host='wp.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260B1280>: Failed to resolve 'wp.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,717 - ERROR - Failed to connect to http://admin-eu.192.168.16.129: HTTPConnectionPool(host='admin-eu.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260B1D00>: Failed to resolve 'admin-eu.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,718 - ERROR - Failed to connect to http://us-east-1.192.168.16.129: HTTPConnectionPool(host='us-east-1.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260B2750>: Failed to resolve 'us-east-1.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,719 - ERROR - Failed to connect to http://portal.192.168.16.129: HTTPConnectionPool(host='portal.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260B2FC0>: Failed to resolve 'portal.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,720 - ERROR - Failed to connect to http://admin-us2.192.168.16.129: HTTPConnectionPool(host='admin-us2.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260B38C0>: Failed to resolve 'admin-us2.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,721 - ERROR - Failed to connect to http://www.blog.192.168.16.129: HTTPConnectionPool(host='www.blog.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260E4080>: Failed to resolve 'www.blog.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,722 - ERROR - Failed to connect to http://mobile.192.168.16.129: HTTPConnectionPool(host='mobile.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260E4B90>: Failed to resolve 'mobile.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,724 - ERROR - Failed to connect to http://redis.192.168.16.129: HTTPConnectionPool(host='redis.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260E5670>: Failed to resolve 'redis.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,725 - ERROR - Failed to connect to http://media.192.168.16.129: HTTPConnectionPool(host='media.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260E5FD0>: Failed to resolve 'media.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,726 - ERROR - Failed to connect to http://multisan.192.168.16.129: HTTPConnectionPool(host='multisan.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260E65D0>: Failed to resolve 'multisan.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,726 - ERROR - Failed to connect to http://de.192.168.16.129: HTTPConnectionPool(host='de.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260E6EA0>: Failed to resolve 'de.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,729 - ERROR - Failed to connect to http://in.192.168.16.129: HTTPConnectionPool(host='in.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155260E7890>: Failed to resolve 'in.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,729 - ERROR - Failed to connect to http://jp.192.168.16.129: HTTPConnectionPool(host='jp.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x0000015526104140>: Failed to resolve 'jp.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,730 - ERROR - Failed to connect to http://sandbox.192.168.16.129: HTTPConnectionPool(host='sandbox.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x0000015526104CB0>: Failed to resolve 'sandbox.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,731 - ERROR - Failed to connect to http://au.192.168.16.129: HTTPConnectionPool(host='au.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x00000155261053D0>: Failed to resolve 'au.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
2024-09-01 02:20:41,733 - ERROR - Failed to connect to http://uk.192.168.16.129: HTTPConnectionPool(host='uk.192.168.16.129', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x0000015526105EE0>: Failed to resolve 'uk.192.168.16.129' ([Errno 11001] getaddrinfo failed)"))
